x y z
-283 -59 61
-370 -36 54
-280 -5 -14
-276 -9 -14
-245 -13 -6
-196 -30 3
-142 -29 1
-159 -34 7
-190 -15 22
-209 -9 12
-232 -25 18
-236 -26 23
-261 -49 14
-250 -53 1
-192 -38 -145
-303 -107 -167
-302 -151 -179
-375 -157 -205
-500 -148 -192
-469 -128 -112
-204 -35 -61
105 5 -67
7 45 -51
-32 9 2
-106 54 -110
-489 83 -235
-534 17 -140
-368 -57 -102
-37 -88 -103
115 -97 -76
-8 -126 -1
-350 -157 -98
-608 -209 -237
-566 -127 -206
-187 -4 -106
179 27 24
76 71 -53
-5 54 -77
-450 77 -188
-708 -22 -319
-629 -31 -125
-367 -80 -69
118 -102 -68
115 -103 -92
100 -156 -12
-346 -161 -73
-585 -161 -147
-449 -5 -50
-164 -25 -31
141 62 -18
37 52 -89
-138 12 60
-455 88 -189
-762 65 -249
-244 -118 -45
-18 -78 -103
123 -98 -79
109 -71 -61
-493 -86 -308
-745 -214 -153
-484 -101 -144
-392 8 -87
213 73 -21
86 104 -74
-48 52 -25
-262 45 -41
-730 51 -298
-457 -123 -61
-231 -78 -77
50 -82 -109
167 -81 -92
-154 -186 8
-456 -192 -149
-747 -203 -203
-455 -6 -133
-19 41 -21
177 82 -16
43 79 -99
-30 45 -12
-641 101 -357
-766 -2 -117
-391 -120 -57
-155 -65 -66
130 -91 -100
92 -127 -22
-293 -175 -55
-685 -150 -249
-528 40 -114
-232 -35 -14
119 8 -37
183 74 -28
-140 46 39
-516 125 -202
-709 118 -302
-549 -60 -83
-68 -47 -80
92 -114 -68
127 -78 -78
0 -148 7
-744 -121 -385
-519 -139 -106
-422 43 -75
-192 0 -14
160 95 -72
19 102 -78
-200 66 -36
-657 166 -253
-487 -86 -44
-266 -75 -50
-5 -80 -98
141 -119 -98
-86 -155 30
-506 -107 -59
-676 -127 -138
-512 -45 -116
-104 -13 -34
183 22 0
134 66 -70
-41 63 -35
-618 155 -369
-831 5 -137
-411 -115 -71
-130 -76 -76
78 -91 -80
50 -93 -19
-191 -221 -7
-637 -170 -335
-373 -17 -76
-245 -29 -40
18 29 -25
163 80 -28
-68 54 34
-403 0 -34
-693 79 -274
-666 -80 -87
-78 -83 -75
99 -81 -67
103 -54 -87
-2 -136 17
-634 -218 -404
-672 -220 -149
-376 15 -98
-217 -11 -4
140 82 -55
46 38 -58
-56 -8 29
-356 -10 -75
-585 42 -81
-407 -131 -13
-229 -62 -34
26 -61 -30
88 -89 -29
-84 -122 -97
-707 -324 -223
-503 -84 -163
-418 -70 13
-135 -38 7
77 18 -51
56 75 -45
-588 -43 -13
-532 42 -115
-394 -26 -6
-453 -37 14
-59 -58 -26
22 -65 -67
52 -57 -38
-28 -114 -65
-377 -85 -177
-317 -45 -6
-371 -45 21
-215 -42 37
-27 -33 -54
-59 -10 18
-302 22 -77
-485 53 -114
