x y z
11 -23 237
12 -24 234
11 -23 236
11 -24 235
11 -24 233
11 -23 235
12 -23 236
12 -24 235
11 -24 234
11 -24 236
12 -23 237
12 -24 235
11 -23 237
12 -24 237
13 -23 236
11 -23 236
12 -23 236
12 -24 236
12 -24 237
12 -25 235
12 -24 236
12 -24 236
12 -26 236
12 -25 235
13 -25 235
10 -25 237
11 -24 233
11 -24 237
11 -24 235
12 -24 235
12 -23 234
12 -24 236
10 -24 234
12 -23 237
11 -23 237
13 -25 236
12 -24 236
11 -24 238
12 -25 236
12 -25 234
11 -24 236
12 -24 236
12 -24 235
12 -24 234
12 -25 234
11 -24 236
12 -24 236
11 -24 234
10 -25 235
11 -24 236
12 -24 235
11 -25 236
11 -25 235
11 -24 235
12 -24 235
11 -25 235
10 -24 238
12 -24 235
11 -24 235
11 -23 237
12 -23 235
11 -23 235
11 -24 235
12 -25 236
11 -23 235
12 -23 235
11 -25 234
11 -24 236
11 -24 235
11 -24 236
11 -24 237
11 -23 236
12 -25 235
11 -24 233
11 -25 235
11 -24 235
10 -24 236
11 -24 236
12 -25 236
12 -24 237
11 -24 236
12 -24 237
11 -23 235
12 -23 235
11 -24 235
11 -24 235
10 -22 235
11 -23 236
11 -24 237
11 -24 235
11 -24 237
13 -23 235
11 -24 237
11 -24 238
11 -24 236
11 -23 235
12 -25 236
11 -23 235
12 -24 236
11 -24 235
11 -24 236
11 -24 236
11 -24 237
11 -24 237
10 -23 235
10 -25 235
12 -24 238
11 -24 236
10 -23 237
11 -24 235
10 -23 235
10 -24 235
12 -25 236
10 -24 237
10 -23 235
11 -24 235
12 -24 236
10 -23 235
10 -24 235
12 -24 235
11 -24 235
11 -23 235
11 -24 235
11 -24 235
11 -24 234
10 -24 236
11 -24 236
10 -24 235
11 -24 236
10 -23 236
10 -25 234
9 -24 236
11 -24 237
10 -23 235
10 -24 236
11 -23 235
11 -24 235
11 -23 235
10 -23 235
11 -24 236
11 -24 236
9 -23 237
12 -23 236
11 -23 236
10 -24 236
10 -24 235
10 -24 236
11 -24 235
10 -23 237
10 -24 237
12 -24 236
10 -23 236
9 -23 235
10 -24 235
9 -23 235
11 -24 236
11 -24 235
11 -24 236
10 -23 234
10 -23 235
9 -23 236
10 -24 235
10 -23 234
10 -23 235
10 -24 234
9 -24 237
11 -25 236
11 -23 236
10 -24 237
10 -23 235
10 -23 234
8 -23 237
10 -23 235
10 -23 234
9 -23 236
11 -23 236
10 -23 234
