x y z
15 -171 174
25 -178 182
25 -174 189
20 -181 183
21 -177 187
-4 -193 172
40 -179 189
31 -180 210
71 -184 165
42 -239 253
-70 -228 282
-246 -690 505
-116 -354 585
-177 -438 141
256 -1138 -93
124 -519 234
21 -194 221
-67 147 655
53 -552 783
17 -258 447
-83 -650 2
117 -488 -84
118 -704 118
70 -483 247
64 -155 315
66 -237 348
-545 -520 739
-122 -370 305
-452 -966 125
-722 -812 -723
-689 -103 423
24 -157 201
-8 -151 197
2 -145 202
-8 -145 201
-10 -148 201
-7 -152 201
14 -105 189
-28 -125 207
5 -144 202
0 -145 202
