x y z
46 -155 196
42 -149 186
40 -154 196
40 -154 196
38 -154 200
38 -154 200
38 -156 196
33 -157 197
33 -157 197
32 -157 200
34 -156 196
34 -156 196
36 -160 196
36 -160 196
41 -158 197
43 -161 193
43 -161 193
43 -162 200
31 -182 183
31 -182 183
19 -193 170
19 -193 170
13 -206 156
17 -195 195
17 -195 195
14 -259 59
14 -259 59
89 -232 134
-158 -126 437
-158 -126 437
-121 -963 434
27 -578 674
27 -578 674
-65 -204 271
-65 -204 271
50 -323 -24
425 -1291 -265
425 -1291 -265
4 -576 296
22 -218 238
22 -218 238
35 -62 458
35 -62 458
-3 -1112 194
-323 -491 832
-323 -491 832
-267 -138 686
-56 -652 267
-56 -652 267
17 -578 223
17 -578 223
205 -1281 -51
-782 198 -121
-782 198 -121
-13 -263 240
4 -169 222
4 -169 222
-53 -36 607
-53 -36 607
-328 9 865
73 81 347
73 81 347
78 -426 355
78 -426 355
64 -1341 178
64 -499 64
64 -499 64
48 -271 203
-7 -180 189
-7 -180 189
-4 -162 193
-4 -162 193
-13 -149 200
-10 -162 196
-10 -162 196
-6 -146 204
-8 -150 201
-8 -150 201
-3 -153 203
-3 -153 203
-3 -145 203
-18 -147 190
-18 -147 190
-15 -145 202
-11 -147 204
-11 -147 204
-11 -143 202
-11 -143 202
-13 -146 205
-40 -133 213
-40 -133 213
-17 -142 207
-12 -144 203
-12 -144 203
-10 -146 204
-10 -146 204
-12 -145 202
-12 -145 204
-12 -145 204
-10 -145 202
-10 -145 202
-13 -144 202
-14 -144 204
