X	Y	Z
2	-17	223
2	-19	233
2	-16	234
2	-18	235
2	-17	234
2	-17	234
3	-17	233
2	-16	234
2	-17	237
4	-18	233
3	-18	233
3	-18	233
5	-19	234
4	-18	233
3	-19	232
5	-17	233
5	-21	234
4	-19	234
4	-18	233
10	-24	237
4	-20	235
4	-20	232
4	-19	233
5	-18	235
4	-18	235
0	-34	235
14	-19	235
-3	-15	236
2	-7	243
2	0	258
1	11	244
16	41	207
91	14	188
80	37	207
30	33	267
0	22	236
35	35	244
81	9	143
96	26	201
50	30	205
-20	34	249
-17	19	230
-29	22	238
-15	23	230
13	24	242
41	20	220
78	18	235
88	27	212
41	36	230
18	34	236
30	34	237
66	26	221
80	21	199
36	24	253
66	10	166
60	24	216
32	29	266
61	27	272
73	24	197
58	22	237
61	35	230
62	26	235
70	19	211
50	27	258
45	18	227
53	21	229
31	17	227
18	16	235
11	17	232
4	15	236
22	23	228
84	20	212
90	26	203
91	26	209
80	25	221
41	32	232
35	34	236
35	35	226
53	31	212
60	36	215
69	41	222
73	37	219
82	33	213
89	35	212
90	35	213
89	34	209
94	43	220
92	39	214
82	34	222
80	34	227
63	32	220
58	45	229
38	76	212
29	92	193
52	110	177
43	103	170
54	83	166
23	38	253
13	1	261
-7	12	241
0	10	232
23	22	260
27	44	246
24	76	203
26	102	182
18	145	145
28	148	144
25	140	150
32	116	157
17	114	197
26	54	237
20	36	247
16	29	254
13	37	250
16	67	221
17	89	197
22	109	188
20	116	167
9	117	170
27	104	196
13	83	219
18	67	222
17	57	227
22	54	242
17	61	229
15	80	223
16	94	204
13	122	170
13	122	158
20	118	171
17	101	188
24	78	210
18	41	246
18	26	237
19	24	226
15	19	239
16	24	239
17	28	248
25	36	228
20	63	215
28	80	210
24	98	183
18	99	184
17	89	203
16	71	221
22	55	241
22	59	235
20	73	222
17	94	209
16	107	174
15	102	185
5	102	204
16	85	218
17	76	226
12	77	234
17	88	215
9	109	200
4	119	175
14	133	161
1	135	161
5	127	169
15	120	191
11	90	200
27	63	233
29	51	219
20	43	230
24	32	222
12	16	237
15	10	239
1	12	235
18	9	224
4	-4	234
3	-3	233
3	-4	233
0	-7	235
7	-6	236
-8	-5	243
18	4	247
67	17	220
90	12	210
119	12	208
128	11	202
125	11	195
107	5	203
83	12	214
8	8	259
-9	12	230
-12	13	230
-20	11	228
-6	10	238
14	23	246
53	6	220
66	9	220
67	7	223
52	6	219
23	9	252
-2	9	236
0	9	233
10	13	240
10	7	240
27	5	240
60	6	224
82	10	216
77	5	211
58	10	225
23	8	241
4	7	234
-3	9	232
-7	9	232
8	11	240
24	15	235
78	10	215
79	9	218
69	8	218
40	12	232
2	8	237
-1	9	230
-4	10	233
-4	10	232
-14	11	232
28	15	234
46	13	223
51	14	228
59	13	220
14	13	238
-4	8	232
-10	10	230
-4	11	232
18	14	226
37	17	226
51	16	225
58	15	223
54	17	226
35	15	222
16	10	231
2	8	237
3	6	233
9	17	249
24	20	243
24	32	237
21	62	232
22	76	200
22	105	176
18	101	187
20	90	198
17	75	211
12	33	231
5	6	249
1	4	236
3	9	234
2	24	244
11	34	233
18	56	225
18	73	209
13	84	192
20	87	206
19	68	210
13	52	231
20	33	230
13	23	237
2	9	238
3	1	235
5	0	233
4	-2	233
7	-7	229
5	-12	248
33	-3	231
74	2	214
102	3	214
108	3	210
107	2	211
98	-4	200
29	-1	235
7	2	248
-6	5	233
-10	5	233
-19	5	231
6	11	247
54	-1	220
73	4	228
95	3	212
118	3	200
108	3	207
86	2	219
59	10	240
3	-19	277
-7	2	234
-15	9	234
-31	8	225
-41	9	228
-51	26	251
-8	17	231
31	20	221
70	20	220
83	6	218
79	6	224
76	3	212
49	7	227
8	10	236
-9	8	231
-15	10	230
-21	12	232
-33	13	227
-11	15	234
34	19	220
55	16	228
67	13	223
76	12	218
64	14	218
24	21	240
28	9	229
-24	16	230
-33	16	228
-32	19	226
-33	21	226
-35	21	241
33	19	224
64	16	223
79	4	219
88	4	220
97	1	208
34	8	231
-8	27	256
-16	11	228
-18	10	231
42	12	218
62	-1	167
13	16	248
-1	9	264
48	10	213
6	-8	257
-9	-1	232
22	10	214
20	11	238
34	-3	175
-18	30	252
3	3	271
22	40	257
9	-1	165
-5	17	233
6	10	232
-17	50	259
8	1	187
1	1	239
23	5	177
-4	8	245
10	15	252
1	5	249
21	0	164
1	20	243
2	5	231
-4	9	231
-4	7	233
1	8	231
-6	11	231
2	8	234
-6	10	232
2	8	230
-9	9	231
-7	5	231
18	9	228
59	-2	227
83	2	212
86	1	215
78	-5	201
31	5	236
3	2	244
1	2	233
-6	2	237
-22	6	229
-37	10	230
-34	6	228
-18	7	235
5	3	235
13	1	243
37	0	231
75	2	220
94	1	211
90	-1	208
37	10	225
2	-2	248
-1	1	236
-19	4	232
-29	6	229
-33	5	229
-38	6	226
-2	7	246
12	3	246
51	1	217
68	3	228
85	2	216
76	3	219
53	-2	208
7	1	257
0	1	233
-21	4	233
-31	5	230
-38	6	228
-42	6	227
-41	7	223
14	2	254
17	-2	235
37	0	246
79	1	210
94	1	219
92	1	212
81	1	211
32	1	228
-4	2	232
-10	3	234
-18	2	229
-26	5	231
-33	5	228
-37	5	225
-16	11	230
-4	-3	257
29	2	228
65	-2	220
69	0	221
76	-1	209
48	-2	233
-1	0	236
-2	3	235
-20	5	233
-31	5	227
-31	6	230
-33	5	228
-29	10	235
2	10	251
36	4	226
62	2	223
59	2	223
34	5	225
11	1	246
-9	6	234
-29	5	227
-33	6	229
-37	6	225
-40	5	223
13	6	245
28	1	227
46	0	240
63	-1	219
61	1	227
37	8	236
24	8	237
5	13	228
2	16	240
-2	35	229
-2	58	215
-1	73	203
7	87	196
16	89	197
6	80	200
6	65	215
17	45	225
18	29	236
14	14	235
11	5	233
3	-2	238
6	-6	233
4	-3	234
3	-5	234
2	1	233
0	-6	236
-6	4	260
-9	22	230
-1	35	224
14	45	224
42	44	212
117	25	221
108	13	212
111	9	210
113	9	205
65	36	227
23	45	228
-8	63	227
-40	69	203
-80	83	190
-84	85	187
-92	86	190
-77	85	191
-49	80	183
35	65	213
91	42	204
149	80	205
128	26	202
146	13	189
148	12	189
119	32	196
107	35	208
60	52	223
-23	76	214
-39	87	209
-54	89	199
-76	90	183
-76	95	188
-67	94	189
