x y z
22 -159 195
22 -159 195
19 -161 196
19 -161 196
21 -168 189
17 -166 193
17 -166 193
12 -158 199
12 -158 199
4 -147 203
18 -166 191
18 -166 191
11 -153 198
3 -160 199
3 -160 199
6 -150 202
6 -150 202
5 -147 208
27 -141 244
27 -141 244
24 -224 89
34 -215 204
34 -215 204
-232 -62 446
-232 -62 446
-411 -1063 383
-148 -622 660
-148 -622 660
-161 -209 253
82 -464 -8
82 -464 -8
253 -1499 -328
253 -1499 -328
189 -825 423
-3 -207 240
-3 -207 240
-197 150 658
-197 150 658
-477 -917 622
-155 -444 1163
-155 -444 1163
-74 -50 220
-16 -548 28
-16 -548 28
91 -1206 157
91 -1206 157
-116 -1009 -72
268 -548 230
268 -548 230
111 -115 358
-70 -546 414
-70 -546 414
-799 -555 908
-799 -555 908
-456 -21 701
-335 -874 538
-335 -874 538
-54 -1376 256
16 -1056 -161
16 -1056 -161
-555 337 53
-555 337 53
-64 -237 211
143 -25 320
143 -25 320
-375 -318 13
-54 -202 161
-54 -202 161
4 -142 209
4 -142 209
-21 -145 205
-22 -152 198
-22 -152 198
-1 -154 202
-1 -154 202
-26 -141 203
-35 -130 204
-35 -130 204
-17 -146 203
-12 -145 202
-12 -145 202
-13 -143 203
-13 -143 203
-15 -142 201
-13 -147 202
-13 -147 202
-12 -149 200
-10 -144 203
-10 -144 203
-15 -146 201
-15 -146 201
-13 -143 206
-11 -145 201
-11 -145 201
-11 -147 202
-8 -148 202
-8 -148 202
-11 -146 203
-11 -146 203
