x y z
-11 -137 194
-21 -143 204
-14 -143 204
-20 -144 202
-16 -143 204
-16 -144 202
-11 -144 203
-19 -143 201
-13 -143 205
-17 -141 203
-10 -141 206
-19 -140 205
-22 -138 205
-19 -141 204
-12 -137 206
-18 -136 207
-18 -136 208
-16 -137 207
-21 -140 206
-21 -146 206
-20 -139 213
4 -145 222
-8 -159 226
-15 -151 231
-82 -140 242
-96 -709 598
-270 -1558 652
-58 -389 543
-109 -269 277
48 -83 -69
82 -92 -80
203 -257 -119
-55 -902 -64
101 -728 -389
291 -678 471
-66 -154 257
-20 -183 255
-38 101 563
-110 -806 274
-163 -963 247
-317 -527 784
-288 -347 682
-172 -57 121
-156 -85 -115
-156 -237 -32
138 -548 22
-164 -1197 48
129 -1269 -270
-682 -64 51
-12 -149 245
-57 -179 321
112 116 599
-159 -230 485
-231 -667 85
-208 -626 884
-183 -645 925
-221 -136 435
-55 163 -39
-45 -265 75
75 -321 57
-56 -909 127
-36 -1573 -149
468 -2827 549
155 -186 249
-90 -159 305
116 67 610
-234 -654 105
-434 -627 573
-200 -599 892
-123 -657 877
-46 37 56
-123 -324 -16
-56 -352 12
15 -355 25
-35 -1648 -160
156 -1049 -296
283 -2779 630
195 -153 200
118 67 627
6 -367 550
-195 -935 -24
-545 -665 581
-137 -713 977
-325 -123 596
12 375 -34
-176 -225 136
92 -354 34
-108 -1047 173
8 -1639 -159
-14 -1112 -203
92 -98 265
-93 -161 344
77 254 727
-123 -713 518
-484 -603 613
-234 -752 976
-128 -628 997
-453 -37 709
-150 -455 198
-107 -531 152
139 -532 18
-119 -1258 141
-101 -826 -170
813 -1844 538
-19 -54 293
-105 -157 400
-268 -696 455
-550 -1444 246
-396 -569 770
-62 -794 999
-242 210 352
-1 269 26
-169 -409 233
-106 -364 192
-134 -1442 210
135 -1616 -397
-1377 461 157
221 -439 66
3 -42 530
-37 254 669
-10 -1259 274
-598 -1054 381
-69 -824 988
-154 -341 891
-248 113 224
-17 23 96
19 -429 65
138 -821 52
-173 -1625 -5
32 -1508 -456
-73 -308 462
102 -199 264
121 -37 532
-203 303 634
-96 -1191 146
-377 -657 944
-105 -638 965
-271 -116 818
-160 315 87
-174 -523 192
-88 -414 114
30 -906 209
-134 -1851 -81
-728 -1767 777
195 -199 146
8 -189 291
110 57 613
-24 -811 -22
-571 -721 458
-352 -460 756
-113 -716 898
-252 -39 255
99 -108 43
-179 -542 217
-107 -467 309
-195 -1645 185
47 -1344 -508
-556 1301 -381
-187 -512 -206
42 -84 443
25 39 362
-1 -822 357
-135 -763 359
-583 -283 763
-565 -147 754
-292 -189 440
89 -199 145
39 -616 405
-154 -1362 580
179 -1636 -36
155 -1212 -392
877 -710 292
9 -55 268
2 -143 235
5 -175 189
2 -154 215
-2 -176 172
-11 -183 170
20 -162 192
-32 -168 186
-8 -150 206
-3 -146 213
-6 -168 185
-4 -161 192
0 -158 196
-23 -156 204
-34 -167 189
11 -161 186
42 -131 226
11 -152 202
14 -157 197
-12 -149 201
-5 -149 204
-9 -148 203
-9 -150 203
-10 -149 202
-13 -152 206
-7 -152 201
-9 -149 201
-7 -151 202
-7 -150 201
-4 -150 202
-12 -152 205
7 -150 184
-4 -149 201
-6 -147 211
15 -154 209
-6 -149 201
-3 -151 203
-10 -146 205
-8 -147 204
10 -144 187
-7 -148 204
-7 -146 201
-4 -147 201
-8 -147 202
