x y z
1 -13 20 246.27
0 -14 20 248.99
0 -14 20 247.24
0 -13 20 244.21
0 -15 20 253.83
0 -14 20 245.12
0 -14 20 248.53
0 -14 20 245.05
0 -14 19 244.09
2 -13 20 244.24
1 -14 20 250.86
0 -14 20 251.87
2 -14 21 255.46
1 -16 21 268.63
0 -20 13 246.85
1 -21 13 250.71
4 -24 11 268.64
-8 -10 39 414.33
-14 -9 33 379.99
8 -62 21 661.20
-7 -103 44 1127.07
-3 -56 57 801.10
8 -26 33 438.42
-11 -11 12 205.65
-7 -15 3 169.25
23 -56 -11 622.29
16 -105 -10 1073.80
21 -127 -25 1316.88
-107 -239 97 2793.71
-1 -42 20 472.63
0 -18 21 282.61
4 -6 44 450.63
-41 17 65 793.04
-73 -163 29 1817.69
0 -81 94 1250.93
-18 -45 96 1086.46
-7 0 33 340.71
3 -7 0 86.60
5 -24 -1 253.96
-4 -41 21 472.69
2 -100 32 1054.97
16 -149 -6 1501.49
0 -93 -20 958.07
16 -12 15 253.65
0 -15 20 259.41
11 -13 30 355.43
8 -3 39 403.82
-48 -121 49 1396.99
-36 -59 71 997.43
-49 -52 91 1165.61
-24 -9 88 923.62
2 -22 29 371.64
-31 -65 50 882.13
-2 -73 34 813.76
-21 -154 47 1629.14
-11 116 73 1382.95
46 -177 42 1881.80
1 -21 18 285.50
8 -43 6 444.16
10 -12 22 278.84
-9 -22 14 281.34
-18 -22 11 313.22
0 -17 20 264.68
-2 -18 20 274.11
4 -21 10 242.07
-2 -22 9 250.64
0 -18 16 252.12
5 -15 22 275.73
1 -17 17 251.41
3 -18 16 246.03
1 -16 20 264.66
0 -16 19 256.90
3 -17 17 251.43
0 -15 20 253.82
2 -16 18 251.86
5 -17 19 270.77
-2 -12 21 249.22
0 -14 20 246.95
0 -14 20 249.31
0 -14 20 249.02
0 -14 20 247.27
0 -14 20 250.22
0 -14 20 247.63
0 -14 20 249.45
0 -14 20 249.05
0 -14 20 249.83
0 -14 19 245.82
0 -14 20 248.21
0 -15 19 249.20
0 -15 19 249.22
0 -14 20 248.24
0 -14 20 248.84
0 -14 19 248.07
0 -14 20 248.44
