x y z total
0.6 -17.1 18.8 25.42
0.7 -17.2 19.0 25.64
0.6 -17.9 18.3 25.61
0.6 -17.4 18.7 25.55
0.6 -17.8 18.4 25.61
1.0 -18.1 18.1 25.62
0.5 -16.7 18.7 25.08
0.8 -16.7 19.2 25.46
1.3 -17.1 18.9 25.52
1.2 -18.2 18.1 25.70
0.8 -18.6 18.1 25.97
-0.9 -16.2 19.3 25.21
2.0 -15.4 19.8 25.16
1.4 -16.9 19.4 25.77
-0.5 -14.6 19.9 24.69
1.1 -15.7 19.4 24.98
0.4 -15.8 19.6 25.18
0.9 -15.7 19.8 25.29
1.2 -15.1 20.5 25.49
1.0 -16.6 19.6 25.70
2.4 -16.5 20.2 26.19
3.0 -17.3 20.0 26.61
4.6 -21.4 11.3 24.63
6.3 -23.1 17.1 29.42
2.3 -11.5 39.0 40.73
-14.4 -8.2 41.3 44.50
-3.1 -107.3 62.7 124.31
-14.7 -30.3 70.4 78.04
20.2 -39.0 54.0 69.61
30.6 -28.3 30.0 51.35
-2.2 -32.5 -0.9 32.59
18.4 -33.1 -19.9 42.78
25.9 -59.4 -25.3 69.56
24.1 -95.3 -23.9 101.16
-157.3 -118.4 109.5 225.28
1.5 -54.9 9.0 55.65
5.2 -21.6 19.8 29.76
5.6 -18.9 21.2 28.95
6.7 -10.5 40.5 42.37
13.8 -89.9 39.6 99.20
-24.7 -112.1 69.2 134.03
-21.1 -69.2 97.6 121.49
-25.5 -43.7 96.6 109.05
-9.7 -45.0 0.2 46.03
-26.0 -55.0 -3.3 60.93
-1.7 -51.2 -12.3 52.68
25.0 -55.2 0.6 60.60
29.5 -136.3 -23.6 141.44
-0.9 -89.3 -19.1 91.32
-128.4 -242.1 55.9 279.6
2.6 -0.8 24.2 24.35
-0.6 -20.7 17.4 27.05
13.5 -4.2 33.2 36.09
-30.6 -19.8 29.2 46.70
-17.1 -120.6 37.4 127.42
-54.8 -100.7 60.7 129.72
-21.9 -11.3 84.9 88.40
14.8 15.1 29.8 36.54
-2.8 -14.4 16.7 22.23
-33.7 -33.8 28.2 55.44
3.6 -105.3 46.5 115.17
23.3 -194.2 -0.5 195.59
35.1 -99.5 -26.5 108.79
-8.5 -198.2 25.9 200.07
5.4 -38.0 23.8 45.16
1.7 -17.5 23.0 28.95
-3.1 -18.4 19.6 27.06
-0.6 -20.9 15.9 26.27
0.3 -16.8 20.6 26.58
-5.1 -44.6 13.0 46.74
-10.5 -21.9 21.7 32.57
-3.1 0.3 14.5 14.83
10.9 -15.2 17.3 25.48
13.5 -16.0 15.2 25.87
10.5 -26.1 12.4 30.74
12.5 -22.5 12.1 28.44
6.7 -30.3 12.8 33.57
-0.9 -15.9 21.1 26.44
2.6 -20.6 15.3 25.79
2.9 -13.5 23.5 27.26
-3.9 -17.3 20.0 26.73
-0.2 -17.9 18.4 25.67
-0.4 -18.1 18.4 25.81
-1.0 -16.7 19.4 25.62
-0.7 -16.6 19.7 25.77
-2.3 -13.8 20.0 24.41
-2.1 -16.2 19.6 25.51
-0.7 -15.9 20.1 25.64
-2.7 -14.7 19.7 24.73
-4.7 -14.2 19.3 24.42
-2.3 -15.3 19.9 25.21
-2.6 -15.1 19.7 24.96
-3.0 -15.3 19.8 25.20
-1.4 -16.1 20.1 25.79
-0.8 -15.4 20.0 25.25
-0.9 -15.7 19.7 25.21
-1.6 -14.5 19.8 24.59
-0.4 -14.7 19.9 24.74
-1.1 -15.8 19.5 25.12
-1.0 -15.6 19.6 25.07
-1.5 -15.8 19.6 25.22
-0.5 -15.2 20.0 25.13
-1.5 -14.9 19.8 24.83
-0.6 -14.7 19.4 24.35
-2.1 -15.5 19.9 25.31
-2.0 -15.8 19.6 25.25
-1.5 -15.7 19.4 25.00
-0.7 -16.2 19.9 25.67
-2.7 -14.7 19.6 24.65
-2.3 -15.6 19.7 25.23
-2.4 -14.6 19.8 24.72
-2.5 -15.0 19.7 24.89
-2.5 -14.8 19.9 24.93
-2.4 -14.9 20.0 25.06
-1.9 -15.3 19.7 25.02
-1.8 -15.8 19.9 25.47
-2.2 -14.7 19.6 24.60
