x y z total
-1.1 -7.0 -26.5 27.43
-0.7 -8.5 -26.4 27.74
-1.4 -5.5 -20.5 21.27
-2.8 -5.2 -29.7 30.28
-3.4 2.9 -26.7 27.07
-3.7 6.7 -30.7 31.64
-1.9 12.8 -31.3 33.87
-4.1 17.8 -32.2 37.02
-4.9 17.7 -33.7 38.38
-0.7 12.4 -31.5 33.86
7.0 8.5 -30.7 32.62
10.8 14.5 -26.2 31.83
8.2 17.2 -28.6 34.37
7.0 28.5 -14.0 32.52
12.0 31.4 -15.0 36.81
7.2 28.1 -15.8 33.03
-2.5 2.0 -11.1 11.55
-15.2 -3.9 -5.1 16.50
-1.6 12.1 -2.6 12.48
9.4 14.3 -1.5 17.18
14.7 8.7 -37.6 41.30
-29.9 41.5 -27.8 58.22
-32.5 52.0 -22.3 65.25
-28.4 44.2 -27.1 59.12
1.7 0.9 -18.3 18.40
26.4 -26.2 -2.1 37.25
0.6 24.5 2.2 24.61
11.9 30.7 -19.2 38.11
9.3 18.3 -62.7 65.97
6.8 26.1 -19.2 33.11
17.5 43.9 -11.2 48.57
-2.8 -3.5 -16.9 17.48
-7.7 -12.5 -1.8 14.79
-7.9 -2.9 -3.5 9.11
-0.7 13.9 -5.3 14.89
6.4 22.9 -41.9 48.18
-22.8 58.7 -26.8 68.44
-44.4 46.2 -12.8 65.34
1.4 15.7 -1.6 15.84
18.8 -4.0 -4.0 19.63
-3.3 -0.6 -15.5 15.86
9.3 -8.8 0.4 12.81
6.7 -2.8 -12.6 14.54
9.3 38.2 -38.8 55.24
-5.2 91.5 -21.3 94.09
11.6 54.5 -2.7 55.79
-1.4 21.7 -0.6 21.75
9.4 8.6 -2.0 12.90
0.2 -16.9 -15.3 22.80
-1.6 -6.0 0.2 6.21
5.0 40.9 -42.7 59.34
-1.2 32.9 -19.0 38.01
-2.8 27.8 -13.9 31.21
-4.1 15.6 -1.9 16.24
-1.9 7.8 -27.8 28.94
10.0 58.2 -19.2 62.10
5.9 42.1 -21.4 47.59
4.7 26.5 -17.5 32.10
7.5 14.3 -14.2 21.50
6.4 14.4 -11.7 19.63
4.8 12.7 -15.1 20.31
5.6 14.3 -13.3 20.32
8.1 17.1 -13.9 23.48
4.3 17.5 -19.7 26.70
5.6 18.9 -16.0 25.39
6.3 19.2 -16.7 26.21
5.5 20.8 -16.0 26.81
5.4 21.6 -14.3 26.46
3.9 23.1 -13.6 27.09
2.9 24.8 -13.3 28.29
2.9 24.4 -13.4 27.99
2.7 22.7 -9.5 24.76
2.5 19.7 -8.0 21.41
2.6 22.2 -6.7 23.33
1.0 22.3 -6.6 23.28
-1.4 26.1 -8.8 27.58
0.5 20.2 -5.9 21.05
-2.1 21.7 -5.9 22.59
-1.6 22.8 -5.9 23.61
-1.6 24.4 -7.3 25.52
-3.7 24.1 -3.4 24.62
-2.8 20.9 -4.8 21.63
-2.7 23.4 -3.6 23.83
-3.9 20.8 -3.6 21.47
-3.0 22.4 -2.1 22.70
-3.2 22.0 -4.4 22.66
-3.5 25.2 -5.4 26.01
-2.6 23.6 -5.1 24.28
-2.5 23.5 -3.3 23.86
-1.7 24.0 -3.3 24.29
-2.0 23.4 -3.0 23.68
-2.4 23.1 -2.8 23.39
-1.4 22.7 -1.8 22.81
-1.8 23.4 -1.9 23.55
-3.1 24.4 -3.5 24.84
-2.1 24.2 -1.1 24.32
-3.4 23.9 -2.4 24.26
-3.0 22.4 -1.8 22.67
-3.5 23.0 -3.4 23.51
-2.9 22.8 -0.8 23.00
-3.2 23.6 -0.6 23.82
-2.8 23.7 -2.0 23.95
-2.5 22.9 -0.4 23.04
-2.7 23.3 -0.8 23.47
-1.9 24.1 -0.6 24.18
-2.4 23.8 -0.1 23.92
-1.6 22.4 0.5 22.46
-1.5 21.9 -0.5 21.96
-1.6 22.2 0.5 22.26
-0.9 24.4 0.9 24.43
-1.4 24.8 0.1 24.84
-0.3 24.9 0.0 24.90
-0.9 22.6 1.6 22.67
-1.0 24.1 1.1 24.15
-1.2 23.3 0.5 23.34
-1.8 22.8 0.1 22.87
-1.5 23.7 2.1 23.84
-1.8 23.3 2.1 23.46
-1.4 22.7 1.7 22.81
-2.2 23.4 1.3 23.54
-1.2 23.3 2.1 23.43
-1.0 23.3 1.7 23.38
-1.4 22.1 0.3 22.15
-1.3 22.8 2.3 22.95
-1.7 23.2 1.1 23.29
-1.9 22.7 1.7 22.84
-1.8 23.4 1.1 23.49
-1.9 22.7 1.2 22.81
-2.2 23.1 1.0 23.23
-1.5 23.5 1.5 23.60
