x y z
121 41 181
114 41 214
114 45 205
114 48 202
121 47 208
111 38 206
107 44 202
111 58 206
113 63 196
110 56 205
108 61 217
134 72 219
137 31 184
50 101 204
33 65 221
29 68 227
9 53 223
56 45 215
40 13 246
47 -3 263
9 120 209
5 117 148
24 103 169
42 46 235
7 16 316
17 50 249
48 104 115
59 75 198
13 -13 342
30 46 263
54 89 158
61 55 217
35 20 272
14 35 265
29 73 186
39 61 211
35 47 226
29 39 241
26 78 218
23 68 202
34 61 203
38 60 209
22 44 242
19 27 247
10 75 233
8 77 209
-9 93 196
8 86 197
2 79 224
-8 88 217
-38 101 195
-35 107 182
-72 117 175
-57 122 180
13 92 178
-42 42 300
28 -1 268
39 -12 263
35 46 248
-42 93 165
-61 105 151
-28 104 197
-1 46 239
-3 56 241
-20 59 215
0 82 210
-33 56 208
-117 104 193
-80 79 146
14 67 196
11 47 278
-1 40 239
-8 57 218
-13 77 194
-147 82 208
-59 76 217
51 21 242
9 7 243
11 52 201
-71 17 224
-80 71 204
-113 84 210
-48 26 182
101 102 223
68 78 153
14 71 208
-14 -1 202
-4 51 231
-24 51 219
-26 53 216
-18 54 225
-16 49 219
-309 -29 318
7 17 241
174 170 189
124 130 82
-8 61 270
0 -15 263
2 33 235
9 59 199
-10 49 229
18 50 231
13 52 221
-26 29 258
102 59 226
174 114 125
11 105 143
9 95 239
38 61 223
35 73 211
5 68 215
7 68 218
28 65 218
15 61 244
-70 52 245
49 36 205
93 120 135
31 107 206
13 69 235
10 52 224
31 68 217
11 62 225
26 62 220
36 48 251
122 53 255
267 118 173
71 132 71
6 144 192
15 68 227
74 57 214
51 73 222
12 59 221
37 62 227
66 64 221
64 61 240
54 35 217
68 61 187
77 51 218
70 54 225
78 53 208
75 55 208
38 -41 449
36 -17 261
43 152 3
-96 173 9
-94 48 223
271 -40 397
59 -5 258
-19 88 178
11 68 215
48 45 246
53 42 225
16 63 213
14 48 232
61 28 234
51 25 242
58 8 308
-66 116 77
-97 142 12
-198 149 134
99 -41 235
108 -24 308
-50 66 197
18 75 223
17 48 232
-8 53 222
-12 58 223
5 43 225
25 29 222
53 17 236
72 28 197
119 42 243
102 30 184
144 27 196
131 50 190
135 52 197
154 47 176
136 42 188
159 39 188
144 42 184
136 45 177
155 46 183
138 42 190
