x y z
69 92 193
89 107 190
91 110 190
83 101 193
82 97 194
89 93 185
97 89 182
66 111 195
72 95 192
55 85 193
42 127 206
56 119 188
61 71 192
37 109 207
19 106 217
111 103 249
225 126 401
104 76 262
-33 45 28
-288 -14 -185
-349 50 -206
-302 60 -126
120 21 364
447 45 467
481 15 437
394 59 276
8 82 54
-291 20 -102
-356 86 -152
-268 103 -87
70 84 274
314 86 435
439 70 438
318 63 314
-29 72 50
-315 78 -121
-392 86 -205
-327 87 -105
-137 35 99
431 -44 411
524 -75 379
475 -11 264
263 27 142
-78 43 -61
-377 63 -131
-394 128 -95
-247 130 79
241 20 259
365 -15 276
395 -10 154
320 26 142
229 148 493
186 161 420
41 99 200
-36 34 -41
-4 -8 -266
108 32 -385
40 70 -332
-27 43 -154
39 10 129
308 16 550
430 20 487
340 47 381
222 66 326
54 62 104
17 37 -129
17 21 -337
48 39 -432
-50 82 -165
-9 49 48
85 59 417
336 75 499
437 56 411
257 99 322
169 100 245
53 91 87
-5 57 -137
5 23 -447
-28 58 -347
-42 45 -73
51 102 262
371 40 441
288 65 288
197 96 193
126 121 130
124 116 92
95 110 80
74 75 107
148 80 209
223 45 236
443 -25 287
357 -5 233
213 -12 131
-76 -28 13
-379 157 -12
-95 134 96
258 26 229
499 -53 254
416 40 215
257 77 127
-64 84 53
-425 124 -30
-172 152 130
268 16 189
498 -46 239
535 -22 246
398 37 203
-362 67 137
-525 208 85
-281 178 62
3 79 130
504 -24 219
479 -2 204
256 68 163
45 67 94
-453 215 62
-210 171 117
90 60 180
336 -48 204
335 17 168
200 85 150
105 130 146
109 128 149
106 106 158
241 65 316
343 92 400
249 71 338
116 24 103
-13 16 -329
51 86 -328
41 72 -169
60 72 256
408 41 546
399 52 421
234 59 240
52 37 17
-58 27 -268
-33 106 -273
17 30 59
265 -3 532
465 -14 643
176 45 217
68 73 -30
-32 60 -225
-97 84 -324
56 -12 82
363 -44 469
348 -17 428
212 1 231
166 37 149
112 52 145
210 48 235
474 -11 295
391 1 202
-368 27 41
-445 142 -17
-217 111 57
144 -1 248
559 -87 286
403 -4 267
228 38 150
-74 -1 25
-410 175 -44
-232 136 98
148 14 238
496 -94 229
391 -24 176
109 68 150
-140 159 102
-124 175 67
19 138 98
350 -24 224
392 -65 269
380 -50 334
315 3 361
19 6 -100
36 -19 -361
67 39 -379
37 106 -198
230 55 500
452 32 553
384 27 366
207 58 224
-18 48 -206
6 51 -332
95 85 -311
112 22 1
224 -9 420
467 -15 346
276 18 206
101 67 89
-34 109 -4
-98 152 -150
43 160 -9
373 105 150
345 79 359
180 111 136
69 128 2
61 153 -64
72 162 -59
321 31 131
556 14 409
367 10 327
169 26 161
-239 99 14
-336 109 -151
1 24 234
544 -35 426
689 -64 360
201 7 137
-95 23 -37
-413 117 -127
-372 167 -119
303 21 255
498 -25 278
457 -3 186
270 61 123
12 164 299
92 187 425
272 117 245
264 -31 -11
248 -98 -286
71 72 -180
81 12 153
311 64 650
364 94 610
146 58 116
31 -2 -183
94 -27 -353
137 47 -270
263 -14 336
367 53 589
359 48 402
255 37 229
68 -13 -190
75 16 -311
167 65 -226
124 26 -6
304 -34 311
301 22 285
155 65 137
94 78 66
88 55 108
702 -177 146
328 -137 166
-13 -38 101
-366 123 -24
-188 137 29
233 31 206
714 -84 208
661 -93 169
11 -54 3
-461 145 -4
-439 196 -56
-188 118 136
335 -17 198
596 -26 171
310 11 135
-4 14 17
-448 164 86
-9 104 142
428 35 173
425 14 149
308 37 93
130 86 128
153 109 176
99 151 204
144 125 177
199 63 97
146 59 172
185 55 146
165 65 143
171 60 148
179 68 167
169 59 170
184 64 167
170 60 160
167 66 149
161 67 157
165 74 153
169 75 158
