x y z
110 31 203
116 36 210
110 28 204
97 34 206
61 23 236
42 31 211
64 37 218
95 53 217
77 49 226
57 21 212
86 34 220
91 32 205
99 50 214
75 39 203
86 39 189
123 72 227
112 42 211
70 43 199
104 53 208
98 43 195
81 54 201
87 66 224
85 71 204
110 57 216
118 65 195
144 54 175
127 81 200
151 75 204
130 73 223
148 93 255
170 115 276
165 135 261
124 128 196
90 132 110
31 129 12
-45 129 -180
-58 132 -192
-14 125 -157
46 107 -53
253 91 266
306 107 360
330 138 434
287 161 410
87 118 200
24 66 22
-18 40 -172
-31 50 -322
-18 60 -338
79 98 -18
115 106 180
170 128 364
278 158 504
212 155 358
108 138 236
63 101 96
22 72 -85
-8 88 -317
28 96 -242
35 101 -104
88 104 73
210 151 382
307 173 452
269 173 399
194 161 305
141 144 207
24 109 -63
-2 107 -179
-9 115 -242
-14 116 -241
72 129 15
130 136 192
219 141 317
310 136 395
284 124 325
169 122 206
84 112 66
30 95 -71
14 101 -185
11 150 -163
1 173 -101
42 178 4
111 163 92
260 75 197
286 37 201
299 19 171
318 -19 151
345 -66 84
291 -40 82
204 19 120
68 123 181
-104 249 166
16 208 113
58 172 73
136 120 72
284 48 79
399 -86 21
404 -88 31
361 -68 22
299 -24 30
72 153 83
-80 266 134
-135 336 184
-81 306 164
161 132 112
246 22 73
325 -75 18
389 -124 24
383 -127 16
305 -47 22
202 30 71
71 137 109
-76 248 139
-75 307 195
34 219 115
124 138 103
213 44 71
359 -48 40
304 -27 46
268 10 51
232 68 67
207 208 284
270 184 254
239 142 179
170 106 86
102 84 -36
33 69 -253
35 67 -282
60 74 -217
100 96 -64
274 126 206
338 123 268
427 120 287
359 136 259
143 123 38
75 117 -73
2 120 -178
-33 113 -253
-6 88 -241
154 59 64
323 59 294
453 73 390
457 99 333
164 140 158
60 121 21
-22 92 -144
-56 78 -291
18 71 -205
80 64 -57
215 56 111
333 58 296
441 79 324
293 102 254
174 113 145
84 111 20
-8 105 -119
-23 107 -252
-13 88 -180
33 60 -59
165 30 145
308 -26 260
286 -11 252
251 9 262
203 13 198
150 32 185
150 21 185
164 16 179
138 58 211
117 24 217
126 -1 213
101 10 199
88 -3 200
114 14 216
110 10 197
84 4 249
119 6 197
142 10 195
124 5 197
158 34 200
131 13 191
145 21 188
150 31 208
155 29 189
136 26 191
122 25 209
135 26 201
